user_id,tenure_months,prior_engagement_score,weekly_watch_hours,num_devices,device_type,payment_method,account_type,has_kids_profile,region,promo_eligible,assigned_promo,renewed,propensity_score
36,46,0.177,1.8,3,web,apple_pay,premium,0,west,1,1,1,0.996103644896108
37,36,0.286,5.6,5,smart_tv,paypal,ad_supported,0,west,1,1,1,0.9321808287872192
38,46,0.189,4.4,1,tablet,paypal,student_discount,0,west,1,1,1,0.9883787821906392
39,23,0.052,8.1,4,web,gift_card,premium,0,midwest,1,1,1,0.997837267857272
40,36,0.06,3.1,4,roku,paypal,premium,1,northeast,1,1,1,0.9991968931958074
41,42,0.232,3.2,2,smart_tv,credit_card,premium,0,west,1,1,1,0.9854753467442915
42,23,0.178,2.7,3,roku,gift_card,premium,1,midwest,0,0,0,0.006015823340386156
43,11,0.08,4.0,5,smart_tv,credit_card,student_discount,0,northeast,1,1,0,0.9989724158042391
44,22,0.336,2.3,2,tablet,credit_card,ad_supported,0,midwest,0,0,1,0.0006986741111196064
45,18,0.156,5.8,4,tablet,gift_card,student_discount,0,west,1,1,1,0.9951175618789802
46,7,0.014,1.2,1,roku,paypal,ad_supported,0,northeast,1,1,1,0.9999366792184347
47,45,0.378,5.9,2,tablet,credit_card,ad_supported,0,south,1,1,1,0.7180706052541462
48,45,0.215,4.7,5,roku,credit_card,student_discount,0,midwest,1,1,1,0.9770681735920365
49,44,0.34,6.2,3,web,apple_pay,premium,0,south,1,1,1,0.785187932618715
50,32,0.592,5.9,2,roku,gift_card,premium,0,midwest,0,0,0,2.8334503230582585e-06
51,12,0.065,3.3,4,web,credit_card,premium,0,northeast,0,0,0,0.0293339117575597
52,44,0.278,2.0,4,mobile,paypal,premium,1,west,0,0,1,0.0005875007177428215
53,22,0.521,8.4,2,smart_tv,paypal,student_discount,0,west,1,0,0,0.14274943962084172
54,27,0.557,0.3,4,tablet,paypal,student_discount,0,west,1,1,1,0.6962160853142054
55,47,0.178,1.0,2,tablet,paypal,student_discount,1,west,0,0,1,0.0036813270135393323
56,46,0.138,1.8,4,smart_tv,paypal,premium,1,south,1,1,1,0.9970546547722132
57,26,0.156,3.4,4,web,apple_pay,student_discount,0,midwest,1,1,1,0.9967697284476791
58,13,0.155,1.6,1,mobile,paypal,student_discount,0,northeast,0,0,0,0.011994793326908023
59,21,0.118,3.0,4,roku,paypal,ad_supported,0,midwest,1,1,1,0.9991075429724052
60,3,0.426,5.6,3,tablet,paypal,student_discount,0,west,1,1,0,0.8347553605680671
61,5,0.354,3.5,4,web,gift_card,student_discount,0,west,0,0,0,0.00035201071519059656
62,16,0.11,1.1,5,tablet,paypal,ad_supported,1,midwest,1,1,1,0.9996464867746584
63,6,0.194,0.7,1,web,credit_card,student_discount,0,midwest,1,1,0,0.9989181799202336
64,5,0.147,1.9,4,tablet,apple_pay,ad_supported,1,northeast,0,0,0,0.017339262969305602
65,22,0.155,4.9,2,tablet,gift_card,ad_supported,0,south,1,1,1,0.9966684252137683
66,32,0.083,1.5,3,web,apple_pay,premium,0,northeast,1,1,1,0.9994865301160661
67,34,0.212,2.6,1,roku,gift_card,ad_supported,0,south,1,1,1,0.99436631923745
68,11,0.239,6.1,3,mobile,paypal,ad_supported,0,south,0,0,1,0.0006603714965013557
69,28,0.493,2.5,4,tablet,credit_card,ad_supported,0,west,1,0,1,0.7402683079693609
70,26,0.334,7.6,2,roku,apple_pay,student_discount,1,midwest,1,1,1,0.7846791192709919
71,5,0.081,0.7,3,tablet,paypal,student_discount,0,south,1,1,1,0.9998243469522892
72,12,0.089,1.2,1,smart_tv,gift_card,ad_supported,0,northeast,1,1,0,0.9997508255219916
73,44,0.171,5.2,2,tablet,apple_pay,premium,0,northeast,1,1,1,0.9910199783687497
74,31,0.072,4.5,1,tablet,apple_pay,ad_supported,0,northeast,1,1,1,0.9989332086485351
75,29,0.237,0.3,3,tablet,paypal,ad_supported,0,northeast,1,1,1,0.9974916359841682
76,6,0.201,5.2,2,web,gift_card,premium,0,midwest,1,1,1,0.9959662150357018
77,48,0.222,0.2,2,web,paypal,premium,1,northeast,1,1,1,0.9950541203260069
78,8,0.294,6.0,1,web,credit_card,premium,0,west,1,1,0,0.9656352081331948
79,24,0.375,2.2,1,tablet,credit_card,ad_supported,0,south,1,1,1,0.9556169523357343
80,13,0.166,7.5,3,mobile,credit_card,premium,1,northeast,1,1,1,0.9870030470300656
81,42,0.442,4.9,5,roku,credit_card,premium,0,northeast,1,0,1,0.600993002648661
82,44,0.554,2.0,3,mobile,credit_card,premium,0,south,1,1,1,0.3829846765256492
83,48,0.501,3.3,4,mobile,credit_card,student_discount,0,west,1,0,1,0.3785032120985486
84,26,0.135,1.4,5,smart_tv,apple_pay,student_discount,0,northeast,1,1,1,0.9986199999482915
85,16,0.272,1.4,4,roku,credit_card,student_discount,0,midwest,1,1,1,0.9936725054808258
86,21,0.366,2.8,4,mobile,apple_pay,premium,1,northeast,1,1,0,0.9417991929191363
87,18,0.323,5.9,4,roku,gift_card,student_discount,1,northeast,1,1,1,0.9113183463397436
88,27,0.237,1.9,2,roku,credit_card,student_discount,1,northeast,1,1,1,0.9912876142160557
89,33,0.174,3.4,4,tablet,paypal,student_discount,1,midwest,1,1,1,0.9952871220157179
90,15,0.105,1.9,4,web,apple_pay,student_discount,0,west,1,1,1,0.9992963953569195
91,47,0.156,5.4,1,web,gift_card,premium,0,west,1,1,1,0.9908863982817077
92,13,0.211,5.5,2,tablet,credit_card,ad_supported,0,northeast,1,1,1,0.9919356755330899
93,9,0.159,1.2,1,tablet,paypal,premium,0,midwest,0,0,1,0.030498345432405535
94,36,0.186,4.3,5,mobile,credit_card,student_discount,0,south,1,1,1,0.985802047025765
95,9,0.484,3.7,1,tablet,paypal,premium,0,south,1,0,1,0.8174138956073621
96,16,0.094,2.6,5,web,credit_card,student_discount,1,west,1,1,1,0.9989422247681164
97,28,0.196,3.5,5,mobile,gift_card,premium,1,south,1,1,1,0.9929273143098081
98,16,0.078,10.5,3,mobile,apple_pay,premium,0,west,1,1,1,0.9909396208228903
99,31,0.137,4.0,1,smart_tv,apple_pay,premium,0,northeast,1,1,1,0.9970196831905102
100,17,0.164,4.9,3,tablet,apple_pay,premium,0,midwest,1,1,0,0.997285982465491
101,40,0.415,16.8,2,web,apple_pay,ad_supported,0,northeast,1,0,1,0.02410822403057421
102,45,0.735,4.9,4,mobile,paypal,student_discount,0,west,1,0,1,0.010898850641063213
103,11,0.364,2.3,5,web,credit_card,student_discount,0,south,1,1,1,0.9545750991964653
104,34,0.341,1.2,3,mobile,apple_pay,student_discount,0,south,1,1,1,0.959556545008768
105,37,0.393,4.0,5,web,credit_card,student_discount,0,midwest,1,1,1,0.8064372759697018
106,8,0.253,2.4,3,tablet,apple_pay,student_discount,0,northeast,0,0,1,0.0026250039713559283
107,20,0.109,2.5,4,roku,apple_pay,ad_supported,0,west,1,1,1,0.9991895161839279
108,38,0.454,5.2,1,mobile,gift_card,ad_supported,0,west,1,0,1,0.5803976050892624
109,45,0.266,3.2,2,smart_tv,credit_card,premium,1,south,1,1,1,0.9631555162548399
110,45,0.129,2.3,4,mobile,gift_card,premium,0,south,1,1,1,0.997864236441405
111,26,0.207,0.4,5,tablet,paypal,student_discount,0,midwest,1,1,1,0.9983362483846738
112,44,0.583,2.5,3,smart_tv,credit_card,ad_supported,1,south,1,0,1,0.18807376814007207
113,15,0.152,1.2,5,smart_tv,gift_card,ad_supported,1,northeast,1,1,1,0.9990086850595872
114,21,0.291,2.4,1,smart_tv,credit_card,ad_supported,0,west,1,1,1,0.9851973164659512
115,43,0.585,16.6,1,tablet,credit_card,ad_supported,1,northeast,1,0,1,0.0017720586318052105
116,35,0.424,2.1,4,smart_tv,gift_card,ad_supported,0,south,1,1,1,0.8630569175904937
117,14,0.238,3.3,3,mobile,gift_card,premium,0,midwest,1,1,0,0.9953543666535329
118,12,0.039,2.6,2,roku,credit_card,ad_supported,0,west,0,0,0,0.05671642116035444
119,27,0.059,5.1,2,tablet,apple_pay,ad_supported,0,west,1,1,1,0.9989893663235879
120,27,0.085,6.7,3,smart_tv,apple_pay,ad_supported,0,south,1,1,1,0.9956936417887355
121,25,0.126,1.6,3,mobile,credit_card,ad_supported,1,south,1,1,1,0.998624714571071
122,30,0.358,1.3,3,tablet,apple_pay,student_discount,0,midwest,1,1,1,0.9721268706388818
123,46,0.359,2.7,5,smart_tv,gift_card,ad_supported,1,midwest,1,1,1,0.9108972552772374
124,5,0.033,9.4,4,tablet,apple_pay,premium,0,midwest,1,1,1,0.9986113196777365
125,40,0.535,9.4,5,roku,paypal,ad_supported,0,northeast,1,0,1,0.06632560134411057
126,29,0.163,3.3,4,smart_tv,apple_pay,premium,0,midwest,1,1,1,0.9970584659369917
127,46,0.395,4.9,4,tablet,paypal,student_discount,0,west,1,1,1,0.7298040426061632
128,42,0.027,1.7,2,tablet,credit_card,premium,0,midwest,1,1,1,0.9997849195127776
129,44,0.493,1.4,2,smart_tv,paypal,ad_supported,0,midwest,1,1,1,0.7327600278325835
130,10,0.094,8.5,3,web,apple_pay,premium,1,northeast,0,0,1,0.0024275131735199424
131,23,0.069,0.8,2,mobile,credit_card,ad_supported,1,south,0,0,1,0.03316362725802344
132,1,0.167,7.1,2,tablet,credit_card,ad_supported,1,northeast,1,1,1,0.9935870556689338
133,27,0.319,5.7,4,web,credit_card,ad_supported,1,west,1,1,1,0.889555998579436
134,1,0.202,1.1,4,tablet,gift_card,student_discount,0,west,1,1,1,0.9990174302327269
135,12,0.19,6.4,1,mobile,paypal,premium,1,south,1,1,1,0.9883836500601599
136,12,0.13,1.2,4,roku,gift_card,ad_supported,0,midwest,1,1,1,0.999624849021481
137,25,0.385,3.1,2,smart_tv,gift_card,ad_supported,0,west,1,1,1,0.9268547293397282
138,14,0.173,2.6,4,tablet,credit_card,student_discount,0,northeast,1,1,1,0.9979853297579834
139,14,0.036,0.6,4,web,apple_pay,premium,0,northeast,0,0,0,0.11425363886246277
140,38,0.337,3.2,1,mobile,apple_pay,student_discount,1,midwest,1,1,1,0.9215178222995726
141,39,0.021,3.8,3,tablet,apple_pay,premium,0,northeast,1,1,1,0.9995437210018291
142,23,0.376,5.4,5,web,credit_card,premium,0,midwest,1,1,1,0.870857153731875
143,47,0.462,1.8,3,roku,credit_card,student_discount,0,midwest,1,1,1,0.7336818476946609
144,4,0.238,2.4,4,roku,paypal,student_discount,0,south,1,1,1,0.9955565186198166
145,16,0.284,2.5,2,web,credit_card,ad_supported,0,midwest,0,0,0,0.00135847830807237
146,44,0.318,5.4,3,tablet,apple_pay,premium,0,west,1,1,1,0.90945082237033
147,30,0.459,2.2,4,web,apple_pay,premium,1,northeast,1,1,1,0.7868986434177714
148,41,0.187,2.7,5,web,credit_card,ad_supported,1,west,1,1,1,0.991900139158677
149,39,0.366,3.8,3,mobile,paypal,premium,0,south,1,1,1,0.884105567007997
150,22,0.15,1.0,1,tablet,credit_card,student_discount,0,south,1,1,1,0.9989445448392901
151,17,0.432,2.0,5,mobile,credit_card,ad_supported,0,northeast,1,1,1,0.9052066732084579
152,39,0.46,2.6,5,tablet,apple_pay,ad_supported,0,midwest,1,0,1,0.7972168635659557
153,47,0.678,8.5,3,smart_tv,paypal,ad_supported,1,west,1,0,1,0.006252296224767986
154,16,0.313,1.2,4,roku,gift_card,premium,1,northeast,1,1,1,0.9904797252773476
155,12,0.304,3.7,1,roku,apple_pay,premium,1,west,1,1,1,0.9788612232221354
156,22,0.457,2.7,3,smart_tv,credit_card,ad_supported,0,west,1,0,1,0.8077907498918651
157,24,0.091,1.4,4,web,credit_card,ad_supported,0,midwest,0,0,1,0.029567175643387213
158,19,0.122,1.5,3,smart_tv,paypal,premium,0,south,1,1,1,0.9993081373693872
159,3,0.06,1.9,2,mobile,gift_card,student_discount,0,northeast,1,1,1,0.9998075926427348
160,34,0.734,5.1,4,web,paypal,student_discount,0,west,1,0,1,0.01467454304562876
161,11,0.359,3.6,4,tablet,apple_pay,student_discount,0,south,1,1,1,0.9499072571686024
162,26,0.268,9.7,1,smart_tv,gift_card,student_discount,0,midwest,1,1,1,0.8573402451837091
163,3,0.172,1.2,3,tablet,gift_card,premium,0,west,1,1,0,0.9995109827639493
164,37,0.604,3.6,5,web,paypal,student_discount,0,south,1,0,1,0.13521718040624905
165,17,0.285,3.0,5,mobile,apple_pay,ad_supported,0,midwest,1,1,1,0.9872357497230331
166,3,0.546,10.4,5,tablet,gift_card,ad_supported,0,northeast,1,1,1,0.14409269149415924
167,7,0.102,2.3,4,smart_tv,gift_card,student_discount,0,west,1,1,0,0.9994603009037764
168,20,0.121,9.1,4,tablet,credit_card,ad_supported,0,south,1,1,1,0.9882937275227086
169,14,0.167,0.5,1,mobile,gift_card,ad_supported,1,northeast,1,1,1,0.9991835995982282
170,18,0.408,4.0,2,web,paypal,ad_supported,0,midwest,1,0,0,0.9007056011940154
171,39,0.565,1.5,3,smart_tv,gift_card,student_discount,0,west,1,1,1,0.4202725273274308
172,18,0.08,3.8,4,mobile,apple_pay,student_discount,0,west,1,1,1,0.9989015676418186
173,1,0.327,6.6,4,mobile,credit_card,student_discount,0,midwest,1,1,1,0.9306472248718567
174,27,0.186,2.2,1,mobile,paypal,premium,1,west,1,1,1,0.996813183663004
175,44,0.153,1.9,2,web,apple_pay,student_discount,0,northeast,1,1,1,0.9965762089602892
176,28,0.356,2.5,1,tablet,apple_pay,premium,1,midwest,1,1,1,0.9653899204785144
177,8,0.538,5.3,2,roku,credit_card,ad_supported,0,northeast,1,0,1,0.4540717739863615
178,33,0.09,4.3,2,tablet,credit_card,student_discount,1,northeast,1,1,1,0.9977081888141158
179,14,0.047,2.5,3,smart_tv,apple_pay,student_discount,0,west,1,1,1,0.9996405306131276
180,10,0.164,2.1,5,web,paypal,ad_supported,1,south,1,1,0,0.9982992891876434
181,13,0.249,0.3,3,tablet,apple_pay,premium,1,south,0,0,0,0.005065557763188491
182,15,0.08,2.4,2,mobile,apple_pay,student_discount,0,northeast,1,1,1,0.9994509768001884
183,10,0.191,2.9,5,web,paypal,premium,0,northeast,1,1,0,0.9977602768306315
184,16,0.656,2.0,2,tablet,credit_card,premium,0,south,1,1,1,0.291904567647444
185,32,0.414,5.9,5,smart_tv,paypal,premium,0,south,0,0,1,2.4781958788956444e-05
186,12,0.223,2.5,3,mobile,gift_card,student_discount,0,west,0,0,1,0.0031534819168176358
187,35,0.483,3.6,5,web,apple_pay,student_discount,0,midwest,0,0,1,1.762990136166184e-05
188,6,0.202,7.1,3,smart_tv,gift_card,ad_supported,0,midwest,1,1,1,0.9900843083710988
189,32,0.518,1.8,3,tablet,paypal,student_discount,1,west,1,1,1,0.6249823590339941
190,44,0.609,3.7,1,roku,gift_card,ad_supported,1,south,1,0,1,0.12736714136982474
191,5,0.381,1.2,1,mobile,gift_card,student_discount,0,west,1,1,1,0.9779155140274995
192,21,0.357,10.3,2,smart_tv,apple_pay,premium,1,northeast,1,1,1,0.5208760394723745
193,26,0.675,7.1,4,roku,gift_card,student_discount,0,south,1,0,1,0.023104752002251296
194,6,0.381,2.3,4,smart_tv,gift_card,ad_supported,0,south,0,0,1,0.00037338132189352783
195,14,0.657,1.4,4,tablet,apple_pay,ad_supported,1,south,1,1,0,0.28308512874441955
196,5,0.158,2.8,4,roku,gift_card,student_discount,0,west,1,1,1,0.9987308656452258
197,24,0.397,2.4,2,smart_tv,paypal,student_discount,0,midwest,1,1,1,0.9257386354010219
198,33,0.274,3.5,1,roku,credit_card,student_discount,0,west,1,1,1,0.9730360023371993
199,7,0.176,0.5,3,web,gift_card,premium,0,south,1,1,1,0.9993482033707278
200,20,0.765,1.8,1,tablet,credit_card,premium,0,midwest,1,1,1,0.09049405842812594
201,10,0.124,3.0,2,smart_tv,paypal,ad_supported,1,south,1,1,1,0.9987324739192629
202,6,0.526,6.6,5,roku,apple_pay,premium,0,northeast,1,0,1,0.4087756997317593
203,30,0.157,1.1,4,web,apple_pay,premium,1,midwest,1,1,1,0.9985824363612806
204,40,0.152,0.4,5,web,credit_card,premium,0,midwest,1,1,1,0.998823350440034
205,30,0.542,2.9,4,smart_tv,apple_pay,ad_supported,0,midwest,0,0,0,1.3051196752163445e-05
206,44,0.331,2.2,3,web,credit_card,premium,0,midwest,1,1,1,0.9611824486173999
207,29,0.083,10.1,5,web,gift_card,student_discount,0,west,1,1,1,0.9851281647921949
208,14,0.467,7.3,1,mobile,credit_card,premium,1,west,1,0,1,0.43514827908795434
209,7,0.156,3.4,2,roku,apple_pay,student_discount,0,south,1,1,1,0.9979086185417765
210,10,0.53,0.3,1,mobile,credit_card,premium,0,midwest,1,1,0,0.8750476231643973
211,47,0.303,4.5,4,roku,paypal,premium,1,west,1,1,1,0.9216628932143321
212,45,0.363,5.2,3,tablet,apple_pay,ad_supported,0,midwest,0,0,1,7.546945696199616e-05
213,42,0.126,8.4,1,tablet,paypal,premium,0,west,1,1,1,0.9870710414557585
214,45,0.081,0.7,3,tablet,gift_card,ad_supported,0,south,1,1,1,0.9995465545471546
215,13,0.379,5.5,2,smart_tv,gift_card,student_discount,0,northeast,0,0,1,8.831672811127044e-05
216,30,0.17,2.7,1,roku,apple_pay,ad_supported,1,south,1,1,1,0.9960081718750696
217,12,0.121,0.4,3,web,credit_card,premium,1,northeast,1,1,1,0.999579269394211
218,45,0.264,2.7,1,roku,credit_card,ad_supported,0,west,1,1,1,0.97992190645781
219,9,0.35,1.5,2,tablet,gift_card,premium,1,midwest,1,1,1,0.9895101117974486
220,21,0.214,9.1,2,web,apple_pay,premium,1,west,1,1,1,0.9418750437309048
221,19,0.337,7.3,1,mobile,paypal,ad_supported,1,midwest,0,0,0,8.057109977915357e-05
222,47,0.093,3.8,5,roku,paypal,premium,0,south,0,0,1,0.005658973183659917
223,48,0.189,1.5,5,tablet,paypal,premium,1,south,1,1,1,0.9953556023593207
224,32,0.189,2.2,1,tablet,apple_pay,student_discount,0,northeast,1,1,1,0.9965074419670195
225,12,0.613,3.8,4,roku,apple_pay,student_discount,0,west,1,0,1,0.24058025782257111
226,31,0.243,1.9,2,smart_tv,paypal,ad_supported,1,midwest,1,1,1,0.9924497729421891
227,25,0.614,1.7,2,web,paypal,student_discount,0,west,1,1,0,0.32568487937144797
228,25,0.108,3.4,3,web,apple_pay,premium,1,northeast,1,1,1,0.9984459661904028
229,37,0.214,3.1,5,mobile,credit_card,student_discount,0,west,1,1,1,0.9872047721357073
230,10,0.442,3.8,5,smart_tv,apple_pay,premium,0,west,1,0,0,0.8468814016869953
231,1,0.403,1.8,4,roku,credit_card,student_discount,0,northeast,1,1,1,0.9604473410491895
232,2,0.518,3.0,4,smart_tv,gift_card,premium,0,northeast,1,1,1,0.7868270576707204
233,33,0.458,4.3,2,roku,paypal,ad_supported,0,northeast,1,0,0,0.6846721177380687
234,19,0.598,1.4,3,mobile,credit_card,premium,1,northeast,1,1,1,0.4429513279971032
235,32,0.465,13.6,3,roku,paypal,student_discount,0,midwest,0,0,1,7.122272828218103e-07
236,15,0.25,0.0,2,web,gift_card,premium,1,northeast,1,1,1,0.9976905771887443
237,35,0.247,3.3,5,web,credit_card,premium,1,west,1,1,1,0.9807468422225547
238,4,0.384,2.4,5,smart_tv,apple_pay,premium,0,midwest,0,0,1,0.0004409645050900789
239,8,0.572,3.7,2,mobile,credit_card,student_discount,1,midwest,1,0,1,0.38066744471457065
240,30,0.257,1.3,5,roku,paypal,premium,0,midwest,1,1,1,0.9950357897096357
241,14,0.695,6.5,1,tablet,gift_card,premium,1,west,1,0,1,0.04710657640673492
242,20,0.203,2.0,4,tablet,apple_pay,student_discount,1,midwest,1,1,1,0.9968505153048672
243,46,0.273,5.6,4,smart_tv,apple_pay,ad_supported,0,south,1,1,1,0.9114192215390717
244,7,0.232,5.2,2,mobile,gift_card,premium,1,northeast,0,0,0,0.001321380137057775
245,48,0.391,5.0,2,web,credit_card,student_discount,0,northeast,1,1,1,0.6560963204786973
246,5,0.504,3.6,4,smart_tv,gift_card,premium,0,south,1,1,0,0.7436260221516476
247,16,0.351,1.8,1,tablet,paypal,student_discount,1,west,1,1,1,0.9745450569500844
248,38,0.46,4.1,1,smart_tv,paypal,premium,0,west,1,0,1,0.6499059128194986
249,15,0.33,0.9,5,roku,paypal,ad_supported,0,south,1,1,1,0.9879731347516733
250,16,0.547,3.6,2,tablet,apple_pay,premium,0,south,1,0,0,0.5578406407332318
251,46,0.245,2.6,1,web,paypal,ad_supported,1,south,1,1,1,0.9800558296810122
252,34,0.133,0.8,5,web,credit_card,student_discount,1,northeast,1,1,1,0.9983202132439228
253,15,0.356,6.5,4,tablet,apple_pay,student_discount,0,south,1,1,0,0.8533816950026237
254,11,0.136,2.6,5,tablet,apple_pay,student_discount,0,northeast,1,1,1,0.9989809356218322
255,34,0.506,1.6,2,mobile,credit_card,student_discount,0,midwest,0,0,1,2.7636891589972165e-05
256,41,0.237,1.1,2,web,paypal,ad_supported,1,northeast,1,1,1,0.9922923600383544
257,3,0.029,5.0,2,smart_tv,gift_card,ad_supported,0,northeast,1,1,1,0.9996781355289205
258,25,0.4,3.1,5,tablet,credit_card,student_discount,1,northeast,1,0,1,0.8713742617452814
259,6,0.158,5.4,1,web,gift_card,premium,0,northeast,0,0,1,0.005129233241305731
260,41,0.455,5.2,2,tablet,paypal,premium,1,northeast,1,0,1,0.5665124892371912
261,39,0.444,0.6,2,tablet,gift_card,student_discount,0,south,0,0,0,0.00010884604978429387
262,32,0.295,4.0,5,mobile,credit_card,ad_supported,1,midwest,1,1,1,0.9562763119294293
263,21,0.24,5.0,3,roku,apple_pay,premium,0,west,0,0,0,0.0009013376632012844
264,42,0.283,1.8,3,smart_tv,paypal,student_discount,0,northeast,0,0,0,0.0005744840390916044
265,11,0.345,1.1,4,roku,credit_card,student_discount,1,west,1,1,1,0.9781185178993159
266,42,0.361,1.0,5,smart_tv,credit_card,student_discount,0,west,1,1,1,0.9355255824888997
267,7,0.126,3.0,2,mobile,apple_pay,student_discount,1,west,1,1,1,0.9986103032795786
268,37,0.177,1.8,5,roku,apple_pay,student_discount,1,west,0,0,0,0.00273835490192318
269,28,0.175,1.0,5,web,apple_pay,ad_supported,0,midwest,1,1,1,0.9984735533113618
270,5,0.298,2.5,4,tablet,gift_card,ad_supported,0,west,1,1,1,0.9933060690166055
271,27,0.253,11.0,4,mobile,paypal,ad_supported,0,northeast,1,1,1,0.8088314305426741
272,7,0.508,2.4,4,web,apple_pay,premium,1,south,0,0,1,3.808980247815746e-05
273,3,0.355,6.9,5,smart_tv,paypal,ad_supported,0,south,0,0,1,9.572960834843756e-05
274,29,0.278,0.9,3,tablet,paypal,ad_supported,0,south,1,1,1,0.9932207527410919
275,47,0.269,1.0,4,mobile,paypal,ad_supported,1,midwest,1,1,1,0.9866869197504665
276,39,0.118,6.2,2,tablet,gift_card,premium,0,west,1,1,1,0.995733306222455
277,48,0.347,5.4,1,roku,apple_pay,premium,0,northeast,1,1,1,0.8367653727233686
278,7,0.454,6.8,5,roku,credit_card,student_discount,1,west,1,0,0,0.5120531229495395
279,38,0.22,1.3,3,web,credit_card,premium,0,midwest,1,1,1,0.9957571439888045
280,17,0.074,3.3,4,smart_tv,apple_pay,premium,0,south,1,1,1,0.9993167039060715
281,42,0.215,8.5,1,smart_tv,credit_card,premium,0,midwest,1,1,1,0.9350979762846635
282,28,0.233,5.5,3,web,credit_card,ad_supported,0,south,1,1,1,0.9731510514254983
283,24,0.298,7.7,1,roku,paypal,ad_supported,1,midwest,1,1,1,0.9006286597625449
284,22,0.286,2.6,3,mobile,apple_pay,premium,0,northeast,1,1,1,0.9867369161266155
285,43,0.063,1.9,3,mobile,apple_pay,ad_supported,0,south,1,1,1,0.9992096874467492
286,19,0.128,5.3,4,roku,paypal,ad_supported,0,midwest,1,1,1,0.9976581271624348
287,30,0.292,3.3,3,tablet,paypal,student_discount,0,west,1,1,1,0.9763791365708497
288,40,0.405,0.8,3,mobile,paypal,ad_supported,0,west,0,0,1,0.0001710161277850193
289,14,0.369,4.0,4,tablet,apple_pay,student_discount,1,south,1,1,1,0.9107362956402704
290,45,0.085,4.7,4,web,apple_pay,premium,1,northeast,1,1,1,0.9965871562939062
